date,title,headline,news
"Feb. 26, 2021",Global Action Is ‘Very Far’ From What’s Needed to Avert Climate Chaos,"New climate pledges submitted to the United Nations would reduce greenhouse gas emissions by less than 1 percent, the world body announced.","Global Action Is ‘Very Far’ From What’s Needed to Avert Climate Chaos New climate pledges submitted to the United Nations would reduce greenhouse gas emissions by less than 1 percent, the world body announced."
"Feb. 22, 2021",What’s Really Behind Corporate Promises on Climate Change?,Many big businesses have not set targets for reducing greenhouse gas emissions. Others have weak goals.,What’s Really Behind Corporate Promises on Climate Change? Many big businesses have not set targets for reducing greenhouse gas emissions. Others have weak goals.
"Feb. 20, 2021",Texas Blackouts Point to Coast-to-Coast Crises Waiting to Happen,"Continent-spanning storms triggered blackouts in Oklahoma and Mississippi, halted one-third of U.S. oil production and disrupted vaccinations in 20 states.","Texas Blackouts Point to Coast-to-Coast Crises Waiting to Happen Continent-spanning storms triggered blackouts in Oklahoma and Mississippi, halted one-third of U.S. oil production and disrupted vaccinations in 20 states."
"Feb. 18, 2021","Texas Storms, California Heat Waves and ‘Vulnerable’ Utilities",Power failures have cast a spotlight on whether energy companies and regulators are doing enough to prepare for climate change and natural disasters.,"Texas Storms, California Heat Waves and ‘Vulnerable’ Utilities Power failures have cast a spotlight on whether energy companies and regulators are doing enough to prepare for climate change and natural disasters."
"Feb. 17, 2021",‘Now It’s Coming Back to Bite Them’: Democrats See an Opening in G.O.P. Oversight of Texas Grid,"As the state reels from power outages, Democrats look to turn the tables on the Republicans who dominate state government.","‘Now It’s Coming Back to Bite Them’: Democrats See an Opening in G.O.P. Oversight of Texas Grid As the state reels from power outages, Democrats look to turn the tables on the Republicans who dominate state government."
"Feb. 17, 2021","No, Wind Farms Aren’t the Main Cause of the Texas Blackouts",The state’s widespread electricity failure was largely caused by freezing natural gas pipelines. That didn’t stop advocates for fossil fuels from trying to shift blame.,"No, Wind Farms Aren’t the Main Cause of the Texas Blackouts The state’s widespread electricity failure was largely caused by freezing natural gas pipelines. That didn’t stop advocates for fossil fuels from trying to shift blame."
"Feb. 16, 2021",The Auto Industry Bets Its Future on Batteries,"Carmakers, government agencies and investors are pouring money into battery research in a global race to profit from emission-free electric cars.","The Auto Industry Bets Its Future on Batteries Carmakers, government agencies and investors are pouring money into battery research in a global race to profit from emission-free electric cars."
"Feb. 8, 2021",A Surprise in Africa: Air Pollution Falls as Economies Rise,"Air quality is improving in one of the continent’s fastest-growing regions, researchers have found. If the trend can be sustained, it would be good news for human health and climate change.","A Surprise in Africa: Air Pollution Falls as Economies Rise Air quality is improving in one of the continent’s fastest-growing regions, researchers have found. If the trend can be sustained, it would be good news for human health and climate change."
"Feb. 8, 2021",Oil Giants Win Offshore Wind Leases in Britain,BP and Total plan to spend billions of dollars developing the wind farms in an effort to aid their shift to renewable energy.,Oil Giants Win Offshore Wind Leases in Britain BP and Total plan to spend billions of dollars developing the wind farms in an effort to aid their shift to renewable energy.
"Feb. 8, 2021","Coal-Fired Power Took a Beating During the Pandemic, Study Finds","A broad move away from coal power was an important factor in pushing down global greenhouse gas emissions, researchers said, and could help accelerate a shift toward renewable energy.","Coal-Fired Power Took a Beating During the Pandemic, Study Finds A broad move away from coal power was an important factor in pushing down global greenhouse gas emissions, researchers said, and could help accelerate a shift toward renewable energy."
"Feb. 2, 2021","U.S. Cities Are Vastly Undercounting Emissions, Researchers Find","Inconsistent and flawed data is undercutting efforts to reduce greenhouse gas emissions from American cities, according to a new study.","U.S. Cities Are Vastly Undercounting Emissions, Researchers Find Inconsistent and flawed data is undercutting efforts to reduce greenhouse gas emissions from American cities, according to a new study."
"Feb. 1, 2021",Exxon Mobil to invest $3 billion in carbon capture and other projects to lower emissions.,Many climate experts have said that such carbon capture and sequestration will be critical in the fight against climate change.,Exxon Mobil to invest $3 billion in carbon capture and other projects to lower emissions. Many climate experts have said that such carbon capture and sequestration will be critical in the fight against climate change.
"Jan. 28, 2021",G.M. Will Sell Only Zero-Emission Vehicles by 2035,"The move, one of the most ambitious in the auto industry, is a piece of a broader plan by the company to become carbon neutral by 2040.","G.M. Will Sell Only Zero-Emission Vehicles by 2035 The move, one of the most ambitious in the auto industry, is a piece of a broader plan by the company to become carbon neutral by 2040."
"Jan. 27, 2021","Biden, Emphasizing Job Creation, Signs Sweeping Climate Actions","The array of directives — touching on international relations, drilling policy, employment and national security, among other things — elevate climate change across every level of the federal government.","Biden, Emphasizing Job Creation, Signs Sweeping Climate Actions The array of directives — touching on international relations, drilling policy, employment and national security, among other things — elevate climate change across every level of the federal government."
"Jan. 27, 2021",‘Energy’ Is Its Name. But What Can the D.O.E. Actually Do on Climate?,"President Biden’s nominee to lead the Department of Energy would control powerful levers to promote clean-energy technologies, though that’s not the agency’s only job. Still, here are five possible steps.","‘Energy’ Is Its Name. But What Can the D.O.E. Actually Do on Climate? President Biden’s nominee to lead the Department of Energy would control powerful levers to promote clean-energy technologies, though that’s not the agency’s only job. Still, here are five possible steps."
"Jan. 27, 2021",How Biden’s Climate Ambitions Could Shift America’s Global Footprint,"Serious efforts to address global warming might mean big changes for America’s trade, foreign relations and even defense strategy.","How Biden’s Climate Ambitions Could Shift America’s Global Footprint Serious efforts to address global warming might mean big changes for America’s trade, foreign relations and even defense strategy."
"Jan. 26, 2021",The Battle Lines Are Forming in Biden’s Climate Push,"The president is moving rapidly to address global warming, with unlikely allies backing him and huge hurdles, some from his own party, directly ahead.","The Battle Lines Are Forming in Biden’s Climate Push The president is moving rapidly to address global warming, with unlikely allies backing him and huge hurdles, some from his own party, directly ahead."
"Jan. 25, 2021",Biden Sets in Motion Plan to Ban New Oil and Gas Leases on Federal Land,"The president will announce a suite of executive actions on Wednesday to combat climate change, two people familiar with his plans said, and will ask federal agencies to determine the extent of a drilling ban.","Biden Sets in Motion Plan to Ban New Oil and Gas Leases on Federal Land The president will announce a suite of executive actions on Wednesday to combat climate change, two people familiar with his plans said, and will ask federal agencies to determine the extent of a drilling ban."
"Jan. 22, 2021",Restoring Environmental Rules Rolled Back by Trump Could Take Years,President Biden has promised to reinstate more than 100 rules and regulations aimed at environmental protection that his predecessor rolled back. It won’t happen overnight.,Restoring Environmental Rules Rolled Back by Trump Could Take Years President Biden has promised to reinstate more than 100 rules and regulations aimed at environmental protection that his predecessor rolled back. It won’t happen overnight.
"Jan. 20, 2021",Biden Cancels Keystone XL Pipeline and Rejoins Paris Climate Agreement,"In a burst of climate orders, the president also ordered federal agencies to begin the process of reinstating environmental regulations reversed under the Trump administration.","Biden Cancels Keystone XL Pipeline and Rejoins Paris Climate Agreement In a burst of climate orders, the president also ordered federal agencies to begin the process of reinstating environmental regulations reversed under the Trump administration."
"Jan. 20, 2021",Suriname Could Be Latest Big Oil Find as Industry Cuts Costs,The small South American country has become a hot prospect for oil companies looking to produce fossil fuels while spending less.,Suriname Could Be Latest Big Oil Find as Industry Cuts Costs The small South American country has become a hot prospect for oil companies looking to produce fossil fuels while spending less.
"Jan. 19, 2021",Court Voids a ‘Tortured’ Trump Climate Rollback,The ruling strikes down weak rules for coal-burning power plants and gives the Biden administration a freer hand to impose tighter restrictions.,Court Voids a ‘Tortured’ Trump Climate Rollback The ruling strikes down weak rules for coal-burning power plants and gives the Biden administration a freer hand to impose tighter restrictions.
